paper,ea prob,true label,predicted label
2207.13713,0.12488473841674276,0,0
2207.13761,0.07369425067910573,0,0
2207.14274,0.015137869512370485,0,0
2207.14277,0.017438939827635638,0,0
2207.14519,0.014122458241187607,0,0
2208.00070,0.9206719533644535,0,1
2208.00986,0.036786815434088245,0,0
2208.01082,0.05357962499268396,0,0
2208.01611,0.025373479916278436,0,0
2208.01668,0.026385764994850434,0,0
2208.02258,0.05359718445011143,0,0
2208.02269,0.06757535812593225,0,0
2208.02677,0.044249873135108586,0,0
2208.02725,0.05284506796906245,0,0
2208.02800,0.013905346438455587,0,0
2208.02805,0.1197185038362742,0,0
2208.03201,0.02569187807746749,0,0
2208.03468,0.17707236558248277,0,0
2208.03508,0.05925131609872678,0,0
2208.03820,0.10781967528588228,0,0
2208.04406,0.03551897112561129,0,0
2208.05176,0.224109316627802,0,0
2208.05222,0.1167684564879093,0,0
2208.05338,0.8586462580884527,0,1
2208.05489,0.10817986158448523,0,0
2208.06440,0.02273673822485302,0,0
2208.06805,0.09587481178400856,0,0
2208.06843,0.010075663603398687,0,0
2208.07374,0.032482662420427605,0,0
2208.07380,0.02381644528900633,0,0
2208.08256,0.022261169883070087,0,0
2208.08514,0.07253425024673389,0,0
2208.09403,0.41530881044994117,0,0
2208.09532,0.06202434580306477,0,0
2208.10503,0.024384617390874608,0,0
2208.12849,0.08920164273501047,0,0
2208.13647,0.8045101562564269,0,1
2208.14020,0.04622177924059116,0,0
2208.14186,0.011818516741883174,0,0
2208.14475,0.016803094541063608,0,0
2208.14675,0.11333847645962399,0,0
2208.14740,0.046616882954996816,0,0
2208.15003,0.02541173328532791,0,0
2209.00620,0.9099155717664089,1,1
2209.00795,0.019368925000717387,0,0
2209.00911,0.05046092040700686,0,0
2209.01695,0.03903103775836209,0,0
2209.01940,0.10187956511303194,0,0
2209.02277,0.15033498455088018,0,0
2209.02447,0.18255118846399446,0,0
2209.02668,0.026293726053625475,0,0
2209.02685,0.08352460339821433,0,0
2209.02708,0.07539126211550592,0,0
2209.02863,0.13905688590876483,0,0
2209.03360,0.010685454826924458,0,0
2209.03385,0.027278230098993467,0,0
2209.03455,0.012018316310505085,0,0
2209.03545,0.007490612589420833,0,0
2209.03967,0.0344014008978949,0,0
2209.04458,0.021004077496642248,0,0
2209.04460,0.16542784383196946,0,0
2209.04682,0.1011623091991568,0,0
2209.04842,0.0329902223367942,0,0
2209.05246,0.03368895710362008,0,0
2209.05386,0.19781395362928342,0,0
2209.05632,0.4209853096877501,0,0
2209.05926,0.021006061359352155,0,0
2209.06088,0.025446057731239684,0,0
2209.06559,0.04709631579648154,0,0
2209.06563,0.01777951968761566,0,0
2209.06666,0.13809940989574876,0,0
2209.06834,0.08745321343400075,0,0
2209.07213,0.3739700431923945,0,0
2209.07525,0.06138780779467768,0,0
2209.08631,0.019187309589953086,0,0
2209.09342,0.11862964640282425,0,0
2209.10533,0.03689283063732864,0,0
2209.11160,0.9908762231019903,1,1
2209.11184,0.030567766777506656,0,0
2209.11244,0.060768602521530636,0,0
2209.11331,0.2815827725078879,0,0
2209.11608,0.028286341698992322,0,0
2209.12090,0.1359481463955001,0,0
2209.12584,0.04751602749287798,0,0
2209.12902,0.0439120397192006,0,0
2209.13088,0.06991396230651681,0,0
2209.13310,0.048384679153427146,0,0
2209.13392,0.01625940405620476,0,0
2209.13445,0.010840888941088058,0,0
2209.13618,0.030015383475336065,0,0
2209.13625,0.12400310930971652,0,0
2209.13749,0.06218531578610889,0,0
2209.13809,0.04113035936227824,0,0
2209.14054,0.034691737234739714,0,0
2209.14061,0.02921122070144028,0,0
2209.14143,0.058156425279228194,0,0
2209.14214,0.01070892426507503,0,0
2209.14313,0.017095307421579675,0,0
2209.14320,0.12584610334865287,0,0
2209.14386,0.025970992172415573,0,0
2209.15581,0.019479500542317448,0,0
2210.00913,0.16213975537678751,0,0
2210.01132,0.009398157886443048,0,0
2210.01825,0.033764526665292505,0,0
2210.02078,0.02342678134818949,0,0
2210.02164,0.044063155404338035,0,0
2210.02243,0.0601973862957731,0,0
2210.02431,0.031136630760612995,0,0
2210.02460,0.018291820800520223,0,0
2210.02682,0.10682760057101057,0,0
2210.03130,0.007668605371188268,0,0
2210.03135,0.14130601277207525,0,0
2210.03267,0.041549995185999895,0,0
2210.03750,0.023047371788865408,0,0
2210.03812,0.01563375142083107,0,0
2210.03977,0.06669152341505695,0,0
